anime_id,genre_id
1826,1
1826,38
1826,29
1827,0
1827,1
1827,25
1827,29
1836,2
1836,3
1836,23
1836,29
1836,32
1836,10
1836,13
1836,22
1836,16
1837,0
1837,4
1837,1
1837,2
1837,39
1837,6
1840,0
1840,1
1840,32
1840,2
1840,10
1840,13
1840,23
1840,29
1840,22
1844,0
1844,7
1844,2
1844,34
1846,11
1846,13
1846,3
1852,2
1852,22
1852,16
1852,14
1858,14
1858,2
1858,22
1860,0
1860,17
1860,9
1860,3
1860,21
1860,29
1860,22
1887,14
1887,2
1887,39
1887,22
1889,7
1889,18
1889,9
1889,19
1897,1
1897,27
1897,22
1897,4
1942,1
1942,4
1942,5
1956,0
1956,20
1956,23
1956,21
1956,22
1965,3
1965,13
1965,14
1965,9
1974,3
1974,34
1988,2
1988,13
